date,NEX-GDDP__ACCESS-CM2,NEX-GDDP__ACCESS-ESM1-5,NEX-GDDP__BCC-CSM2-MR,NEX-GDDP__CMCC-CM2-SR5,NEX-GDDP__CMCC-ESM2,NEX-GDDP__CNRM-CM6-1,NEX-GDDP__CNRM-ESM2-1,NEX-GDDP__CanESM5,NEX-GDDP__EC-Earth3-Veg-LR,NEX-GDDP__EC-Earth3,NEX-GDDP__FGOALS-g3,NEX-GDDP__GFDL-CM4,NEX-GDDP__GFDL-ESM4,NEX-GDDP__GISS-E2-1-G,NEX-GDDP__HadGEM3-GC31-LL,NEX-GDDP__INM-CM4-8,NEX-GDDP__INM-CM5-0,NEX-GDDP__IPSL-CM6A-LR,NEX-GDDP__KACE-1-0-G,NEX-GDDP__KIOST-ESM,NEX-GDDP__MIROC-ES2L,NEX-GDDP__MIROC6,NEX-GDDP__MPI-ESM1-2-HR,NEX-GDDP__MPI-ESM1-2-LR,NEX-GDDP__MRI-ESM2-0,NEX-GDDP__NESM3,NEX-GDDP__NorESM2-LM,NEX-GDDP__NorESM2-MM,NEX-GDDP__TaiESM1,NEX-GDDP__UKESM1-0-LL,CIL-GDPCIR__ACCESS-CM2,CIL-GDPCIR__ACCESS-ESM1-5,CIL-GDPCIR__BCC-CSM2-MR,CIL-GDPCIR__CMCC-CM2-SR5,CIL-GDPCIR__CMCC-ESM2,CIL-GDPCIR__CanESM5,CIL-GDPCIR__EC-Earth3-CC,CIL-GDPCIR__EC-Earth3-Veg-LR,CIL-GDPCIR__EC-Earth3-Veg,CIL-GDPCIR__EC-Earth3,CIL-GDPCIR__FGOALS-g3,CIL-GDPCIR__GFDL-CM4,CIL-GDPCIR__GFDL-ESM4,CIL-GDPCIR__HadGEM3-GC31-LL,CIL-GDPCIR__INM-CM4-8,CIL-GDPCIR__INM-CM5-0,CIL-GDPCIR__MIROC-ES2L,CIL-GDPCIR__MIROC6,CIL-GDPCIR__MPI-ESM1-2-LR,CIL-GDPCIR__NESM3,CIL-GDPCIR__NorESM2-LM,CIL-GDPCIR__NorESM2-MM,CIL-GDPCIR__UKESM1-0-LL,EURO-CORDEX__cnrm_cerfacs_cm5_cnrm_aladin63,EURO-CORDEX__cnrm_cerfacs_cm5_knmi_racmo22e,EURO-CORDEX__cnrm_cerfacs_cm5_smhi_rca4,EURO-CORDEX__ichec_ec_earth_knmi_racmo22e,EURO-CORDEX__mohc_hadgem2_es_dmi_hirham5,EURO-CORDEX__mohc_hadgem2_es_knmi_racmo22e,EURO-CORDEX__mohc_hadgem2_es_smhi_rca4,EURO-CORDEX__mpi_m_mpi_esm_lr_smhi_rca4,EURO-CORDEX__ncc_noresm1_m_dmi_hirham5,EURO-CORDEX__ncc_noresm1_m_gerics_remo2015,EURO-CORDEX__ncc_noresm1_m_smhi_rca4
2000-06-01,17.5880,22.0528,19.8372,19.8181,19.9823,16.4488,16.6537,22.0627,26.8358,26.1955,19.5588,25.2387,16.9368,17.0360,18.7776,15.5485,23.4303,20.9002,20.9717,27.7031,16.5385,22.3543,17.9181,15.7434,17.1603,19.8098,16.6238,18.7604,20.6979,26.8865,17.8867,22.1319,20.0978,19.6719,20.2997,21.7929,17.0210,26.3326,16.2248,26.0525,21.3586,25.4320,17.2931,19.2419,15.2717,23.3458,16.2664,21.9675,15.5471,19.7337,16.8260,18.7820,26.7455,,,,,,,,,,,
2000-06-02,17.4301,24.0521,20.7557,20.6297,23.0565,18.1018,18.6682,23.6098,26.9590,18.7226,17.8960,23.9705,19.7190,16.6216,16.1927,16.2250,21.5568,20.8170,20.0734,25.9526,19.5059,23.6552,14.5187,16.8592,16.6624,22.2081,16.9907,21.3608,18.1798,25.2426,17.7101,23.7199,20.9002,20.4345,23.1066,23.7253,17.4301,25.9368,16.6581,18.1392,20.3764,24.3580,20.4254,19.0304,16.1335,21.5754,19.2842,23.2225,16.3960,22.2626,17.1389,21.0698,26.9720,,,,,,,,,,,
2000-06-03,18.4754,25.2329,21.7179,21.9707,18.5671,20.0976,19.8701,27.2431,27.7190,18.5803,18.8191,24.3333,23.4454,16.5826,16.4168,16.9296,24.0675,23.0422,20.4868,21.1843,21.3787,23.0531,15.1460,19.6590,16.1609,20.5014,16.4504,24.3707,18.5412,21.8127,18.7197,24.5984,22.3455,21.9929,18.8798,27.2449,15.5464,27.0310,17.1715,17.8292,16.9768,24.6927,24.1791,16.1934,16.8558,24.0040,21.5144,22.1927,19.0332,20.1044,16.6596,24.7359,26.0250,,,,,,,,,,,
2000-06-04,16.9865,25.7776,22.1244,23.1971,16.5773,21.9139,19.2176,23.8072,27.0827,18.0908,15.6763,21.7172,26.1251,15.7843,17.6670,16.9648,24.4059,23.1182,22.0365,21.8587,21.3105,25.2325,15.0422,22.4684,16.1847,19.3430,15.4013,25.8968,18.8727,20.0639,16.9584,25.3458,22.5578,23.2822,16.8166,23.6276,17.1936,26.7577,17.7016,17.6401,14.7339,21.7169,26.7292,16.3081,17.0012,24.3069,21.5752,24.1865,22.0502,18.8994,15.6286,26.6772,22.2001,,,,,,,,,,,
2000-06-05,16.2366,24.0633,23.3480,23.0334,18.8706,20.0405,20.6774,25.7388,26.8695,18.3228,15.6908,20.6456,26.6670,18.2565,17.1400,18.1893,20.3214,18.7541,23.9727,23.5889,21.6795,26.9510,15.4978,20.2483,16.4499,19.9680,18.4766,26.0180,19.4413,20.4318,15.9558,23.7936,24.0679,23.1598,18.9990,25.6433,19.2337,25.8749,21.5473,17.8505,16.3591,20.8195,27.0105,17.7087,18.3028,20.4740,21.8970,26.3205,19.9950,19.7878,18.4322,26.1588,19.8673,,,,,,,,,,,
2000-06-06,17.8435,21.7950,22.7240,20.1090,19.7344,19.7575,19.5797,27.5991,27.9653,16.1494,16.4850,19.6066,27.7325,20.1380,17.9859,19.5044,19.5898,16.8641,24.8449,24.2893,22.5328,26.3339,14.5739,16.1291,14.5133,20.6868,19.5348,17.8189,20.6525,20.1637,17.3370,21.7051,23.7719,19.9221,19.6689,27.5598,19.5414,26.9506,20.5476,15.9198,16.6597,19.5095,27.9763,17.2659,19.6319,19.6849,22.9666,25.6278,16.0316,20.4346,19.5116,17.0715,20.2392,,,,,,,,,,,
2000-06-07,20.8389,23.8966,20.2206,21.5909,20.9081,20.7439,16.3072,26.3330,25.0771,17.7357,16.6369,17.9938,26.6665,21.0585,18.9539,21.8739,19.5724,19.4219,26.8154,22.8461,21.1794,25.8420,16.2952,19.5253,14.5887,22.7083,19.0300,17.9321,17.5488,19.1523,20.2889,23.3588,20.7202,21.4440,20.4220,26.4551,20.8276,24.3122,20.3539,17.2110,16.2747,17.9339,27.0591,18.1342,21.9535,19.6756,21.2794,24.9421,19.2428,22.6972,18.9126,16.7275,20.0951,,,,,,,,,,,
2000-06-08,21.2385,25.3752,16.3603,24.2327,22.5906,19.0403,18.4980,21.8544,18.3966,21.8298,17.6017,17.8912,25.3981,23.7010,20.5684,22.1477,14.4012,19.1132,26.7898,22.9383,16.4700,26.3722,17.0154,25.3841,15.9498,20.7607,20.4524,18.8695,18.9272,19.1448,20.8089,24.9953,16.4717,23.8668,21.9722,21.7551,22.6840,17.9875,19.6846,21.1381,17.4817,17.8996,25.9654,19.1124,21.9488,14.8705,16.5170,25.6692,25.2040,20.3970,20.6764,17.8122,18.9913,,,,,,,,,,,
2000-06-09,21.0638,24.4808,14.6837,22.7600,24.2619,17.9666,20.2051,20.2534,18.4028,22.5900,19.2590,18.5846,23.4540,25.4186,21.8022,19.1527,14.6891,16.9890,25.6392,22.4760,15.1015,24.1781,15.3524,25.0278,18.3596,19.2089,20.9800,21.9325,21.8660,18.5361,20.6175,24.2494,14.8426,22.6039,23.8270,20.2099,23.1373,17.9851,18.7994,22.1233,20.5942,18.5420,24.0842,21.0405,18.4844,15.1235,15.0261,23.4819,25.0802,18.6627,21.1964,20.9985,18.7420,,,,,,,,,,,
2000-06-10,23.0236,22.2124,17.1042,22.9695,25.4286,17.6628,19.3278,17.0549,20.1092,20.1655,19.2914,17.7009,20.7133,21.9523,22.6165,20.3052,18.1674,17.4172,26.2707,23.4348,17.3151,22.5168,17.0704,23.0563,21.8423,20.0789,22.0660,23.9012,24.4374,19.9279,22.7111,22.1363,17.2933,23.0797,24.9380,16.8688,18.9143,19.7632,19.4901,19.7721,23.0034,17.3066,21.4506,22.1792,19.7260,18.2204,16.9757,22.0883,23.2422,19.8113,22.2169,23.3914,18.1142,,,,,,,,,,,
2000-06-11,24.0653,20.0478,19.8115,23.3731,25.8125,17.1085,18.1167,17.8629,22.7284,20.8538,20.0387,18.4206,18.6239,19.8486,23.7068,22.4722,20.9280,19.9005,28.0029,23.6469,18.4931,21.1697,17.9255,21.9805,23.8930,24.1550,25.9135,25.2812,26.7515,18.9492,23.9406,19.9511,20.2660,23.2482,25.4702,17.6604,16.7774,22.4545,19.2533,20.5850,27.1528,18.1074,19.1744,23.1740,22.6290,21.0363,18.4945,20.9480,22.4125,25.2803,25.9379,24.9082,19.5518,,,,,,,,,,,
